city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Nuquí,40,CO,1584148863,83,5.71,-77.27,82.4,5.88
Porto Belo,20,BR,1584148896,83,-27.16,-48.55,78.01,8.05
Dekar,1,BW,1584148896,76,-21.53,21.93,69.03,5.64
Beisfjord,100,NO,1584148896,85,68.38,17.6,24.01,14.99
Ranong,40,TH,1584148896,74,9.97,98.63,86.0,2.24
Sørland,100,NO,1584148618,57,67.67,12.69,30.81,20.42
Aykhal,0,RU,1584148614,75,66.0,111.5,-14.8,6.71
Chicama,2,PE,1584148896,88,-7.84,-79.15,73.4,13.87
Roanoke Rapids,1,US,1584148811,87,36.46,-77.65,69.8,9.17
Kiryat Gat,75,IL,1584148612,87,31.61,34.76,59.0,18.34
Shuyskoye,93,RU,1584148897,88,59.37,41.03,31.6,11.1
Cananea,46,MX,1584148897,49,30.95,-110.3,55.99,7.0
Raudeberg,98,NO,1584148897,66,61.99,5.14,32.0,11.41
Alekseyevka,100,RU,1584148897,73,50.63,38.69,41.63,6.11
Nikolskoye,75,RU,1584148310,63,59.7,30.79,26.6,17.9
Poronaysk,29,RU,1584148897,61,49.22,143.12,21.52,4.94
Kuzovatovo,17,RU,1584148898,82,53.55,47.69,33.66,8.75
Puerto Baquerizo Moreno,20,EC,1584148898,88,-0.9,-89.6,80.6,4.7
Luwingu,100,ZM,1584148898,98,-10.26,29.93,65.07,4.12
Ulladulla,90,AU,1584148898,93,-35.35,150.47,52.0,9.17
Stokmarknes,100,NO,1584148898,89,68.56,14.91,24.01,1.01
Pareora,0,NZ,1584148898,71,-44.49,171.21,64.99,4.0
Gouré,14,NE,1584148898,21,13.98,10.27,68.0,5.01
Hesperia,90,US,1584148646,100,34.43,-117.3,62.6,8.05
Forestville,1,US,1584148898,26,38.85,-76.88,63.0,11.41
Sisimiut,100,GL,1584148630,95,66.94,-53.67,-0.51,4.97
Dawson,40,US,1584148899,64,31.77,-84.45,77.0,3.36
São Filipe,36,CV,1584148899,57,14.9,-24.5,75.4,10.22
Aswān,0,EG,1584148610,47,24.09,32.91,60.44,11.18
Ottawa,90,CA,1584148730,59,45.41,-75.7,37.99,19.46
Kuito,100,AO,1584148899,93,-12.38,16.93,61.83,1.12
Sur,42,OM,1584148899,30,22.57,59.53,64.04,3.83
Linhares,6,BR,1584148899,93,-19.39,-40.07,73.26,2.04
Coquimbo,15,CL,1584148900,93,-29.95,-71.34,60.8,3.36
Gornyy,100,RU,1584148900,87,55.12,83.91,21.69,11.32
Kédougou,0,SN,1584148900,25,12.56,-12.17,86.0,2.24
Quebrangulo,64,BR,1584148900,81,-9.32,-36.47,74.08,6.24
Pochutla,40,MX,1584148900,74,15.74,-96.47,82.4,8.05
Kavieng,19,PG,1584148047,77,-2.57,150.8,84.22,12.39
Kavaratti,12,IN,1584148900,80,10.57,72.64,80.73,15.99
Martan-Chu,61,RU,1584148900,86,43.06,45.56,41.0,4.47
Sistranda,40,NO,1584148901,79,63.73,8.83,30.99,16.11
Verkhoyansk,0,RU,1584148901,92,67.54,133.38,-21.93,3.38
Ingham,1,US,1584148901,43,42.6,-84.38,39.2,5.82
Morondava,45,MG,1584148901,69,-20.28,44.28,74.39,5.59
Prado,83,BR,1584148901,81,-17.34,-39.22,81.01,9.48
Sabha,49,LY,1584148605,32,27.04,14.43,56.88,6.24
Alofi,100,NU,1584148622,77,-19.06,-169.92,82.87,13.67
Siocon,80,PH,1584148902,72,7.71,122.14,79.5,5.19
Wote,96,KE,1584148902,92,-1.78,37.63,65.66,1.36
Taoudenni,0,ML,1584148618,11,22.68,-3.98,71.15,6.46
Tilichiki,20,RU,1584148902,85,60.47,166.1,11.97,6.33
Yangi Marg`ilon,89,UZ,1584148612,52,40.43,71.72,44.6,6.93
Margate,78,GB,1584148902,87,51.38,1.39,46.4,6.93
Shingū,75,JP,1584148308,93,33.73,135.98,44.6,10.29
Batagay-Alyta,0,RU,1584148903,61,67.8,130.41,-18.74,2.55
Tateyama,75,JP,1584148903,87,34.98,139.87,46.99,19.46
Lixouri,29,GR,1584148903,64,38.2,20.43,52.0,14.88
Gamba,100,GA,1584148903,89,-2.65,10.0,78.91,1.86
Banfora,43,BF,1584148903,10,10.63,-4.77,79.59,3.42
Lubango,99,AO,1584148903,88,-14.92,13.49,61.61,1.68
Richards Bay,67,ZA,1584148903,85,-28.78,32.04,77.68,10.74
Cookeville,90,US,1584148784,66,36.16,-85.5,53.01,6.04
Najrān,45,SA,1584148798,29,17.49,44.13,66.2,5.82
Pechenga,49,RU,1584148904,78,69.53,31.17,14.0,25.28
Tayshet,26,RU,1584148904,87,55.93,98.0,23.79,4.23
Malé,20,MV,1584148731,88,4.17,73.51,82.4,6.93
Praia da Vitória,20,PT,1584148905,87,38.73,-27.07,57.2,4.61
Kungurtug,0,RU,1584148905,74,50.6,97.52,7.29,4.09
Leningradskiy,44,RU,1584148629,94,69.38,178.42,2.88,8.34
Kismayo,98,SO,1584148905,80,-0.36,42.55,82.81,13.09
Shihezi,3,CN,1584148905,58,44.3,86.03,31.91,1.74
Trairi,100,BR,1584148905,94,-3.28,-39.27,73.83,0.13
Kantunilkín,40,MX,1584148728,74,21.09,-87.45,78.8,6.93
Agüimes,75,ES,1584148905,77,27.91,-15.45,64.4,20.8
Lodja,85,CD,1584148640,99,-3.48,23.43,67.19,1.14
Esperance,90,AU,1584148906,93,-33.87,121.9,64.4,10.29
Hamilton,90,US,1584148758,45,39.18,-84.53,46.99,6.93
Necochea,1,AR,1584148533,68,-38.55,-58.74,82.0,11.99
Jaisalmer,0,IN,1584148906,40,26.91,70.92,61.09,2.35
Grindavik,75,IS,1584148906,79,63.84,-22.43,28.4,18.34
Lábrea,100,BR,1584148907,92,-7.26,-64.8,77.61,1.05
Aragarças,18,BR,1584148907,91,-15.9,-52.25,74.23,2.91
Saku,75,JP,1584148907,82,36.22,138.48,44.01,2.04
Clyde River,40,CA,1584148907,68,70.47,-68.59,-14.8,14.99
Carballo,24,ES,1584148907,93,43.21,-8.69,48.0,1.12
Isangel,40,VU,1584148907,63,-19.55,169.27,91.4,9.17
Faya,95,SA,1584148909,82,18.39,42.45,59.0,4.7
Dyersburg,75,US,1584148909,76,36.03,-89.39,51.8,5.82
Nyurba,0,RU,1584148909,93,63.28,118.33,-18.89,4.68
Gachsaran,75,IR,1584148910,38,30.36,50.8,60.8,11.41
Maryville,90,US,1584148910,38,35.76,-83.97,60.01,5.82
Quatre Cocos,40,MU,1584148910,100,-20.21,57.76,75.99,11.59
São João Batista,20,BR,1584148910,83,-27.28,-48.85,78.01,8.05
Januária,5,BR,1584148910,88,-15.48,-44.37,70.77,2.62
West Bay,20,KY,1584148806,83,19.37,-81.42,78.8,9.17
Hilton Head,1,US,1584148759,82,32.22,-80.75,73.4,4.7
Basco,51,PH,1584148911,80,20.45,121.97,76.51,8.01
Deputatsky,0,RU,1584148624,75,69.3,139.9,-19.97,1.81
Prosvet,100,RU,1584148911,92,55.57,65.08,34.97,15.57
Locri,20,IT,1584148911,33,38.24,16.26,59.0,4.7
Zlobin,40,HR,1584148912,37,45.29,14.65,55.4,8.05
Diego de Almagro,59,CL,1584148629,66,-26.37,-70.05,61.48,1.54
Safford,40,US,1584148912,58,32.83,-109.71,57.2,20.8
La Santisima Trinidad,76,BO,1584148656,65,-14.83,-64.9,84.02,2.17
Bethel,1,US,1584148913,25,41.37,-73.41,62.6,11.41
Hasaki,75,JP,1584148615,87,35.73,140.83,43.0,14.99
West Wendover,90,US,1584148913,49,40.74,-114.07,46.4,20.8
Houma,1,US,1584148812,94,29.6,-90.72,73.4,5.82
Pyu,17,MM,1584148913,55,18.48,96.43,66.31,1.95
Khanbari,91,NP,1584148913,75,27.37,87.2,40.3,4.41
Puerto Colombia,20,CO,1584148913,78,10.99,-74.95,78.8,16.11
Tiksi,0,RU,1584148640,82,71.69,128.87,-21.66,3.22
Ati,77,TD,1584148914,17,13.22,18.34,66.24,11.72
Zhezkazgan,75,KZ,1584148914,92,47.8,67.71,19.4,8.95
Marawi,28,PH,1584148914,78,8.0,124.29,80.01,5.99
Kitgum,85,UG,1584148914,67,3.28,32.89,74.68,1.61
Lima,0,PE,1584148842,78,-12.04,-77.03,75.2,14.99
Panay,1,PH,1584148914,75,6.5,124.64,73.17,2.21
Rønne,45,DK,1584148915,55,55.1,14.71,35.6,12.75
Shubarkuduk,38,KZ,1584148915,73,49.14,56.49,36.73,12.33
Rome,90,US,1584148745,55,43.21,-75.46,43.0,18.34
Rio Claro,11,BR,1584148639,73,-22.41,-47.56,71.6,1.12
Sinnamary,48,GF,1584148915,76,5.38,-52.95,80.92,14.18
Vostok,41,RU,1584148915,86,46.49,135.88,12.47,5.48
Bintulu,75,MY,1584148915,88,3.17,113.03,80.6,6.93
Klaksvík,100,FO,1584148625,93,62.23,-6.59,39.2,19.46
Rocha,0,UY,1584148626,71,-34.48,-54.33,68.83,10.29
Betsiamites,100,CA,1584148916,100,48.94,-68.65,28.4,19.46
Vao,100,NC,1584148542,86,-22.67,167.48,79.66,12.71
Saint John,75,CA,1584148626,93,45.27,-66.07,42.8,5.82
Wilmington,1,US,1584148690,82,34.23,-77.94,68.0,8.05
Tura,100,IN,1584148916,52,25.52,90.22,72.34,4.27
Kokopo,29,PG,1584148614,76,-4.35,152.26,84.61,18.1
Samarai,100,PG,1584148631,63,-10.62,150.67,85.1,7.27
Nanma,59,CN,1584148916,52,36.18,118.16,50.0,1.99
Jiehu,0,CN,1584148917,76,35.54,118.45,42.33,9.91
Arrondissement de Lannion,96,FR,1584148917,93,48.75,-3.42,50.0,10.29
Messina,20,IT,1584148917,33,38.19,15.55,59.0,4.7
Sept-Îles,90,CA,1584148723,92,50.2,-66.38,21.0,24.16
Sorong,100,ID,1584148813,96,-0.88,131.25,79.03,4.21
Harpanahalli,0,IN,1584148918,61,14.8,75.98,65.32,3.04
Kozhva,100,RU,1584148918,99,65.11,57.05,31.53,2.57
Grand Forks,40,US,1584148696,72,47.93,-97.03,17.6,8.05
Singkawang,100,ID,1584148918,89,0.9,109.0,77.65,2.57
Beian,40,NO,1584148918,79,63.66,9.57,30.99,16.11
Plastun,75,RU,1584148918,55,44.76,136.29,20.1,3.4
Semey,57,KZ,1584148918,86,50.41,80.23,28.4,4.47
Bétaré Oya,53,CM,1584148919,23,5.6,14.08,67.48,5.1
Savinka,97,RU,1584148919,82,50.08,47.1,48.56,6.42
Marzuq,0,YE,1584148919,36,14.4,46.47,59.25,5.08
Bandarbeyla,75,SO,1584148617,80,9.49,50.81,78.6,16.31
Starobesheve,83,UA,1584148919,77,47.75,38.03,47.35,9.04
Baie-Comeau,100,CA,1584148919,100,49.22,-68.15,28.4,19.46
Luanda,75,AO,1584148919,88,-8.84,13.23,80.6,6.93
Los Corrales de Buelna,0,ES,1584148919,87,43.26,-4.07,46.0,4.56
Il’inskiy,75,RU,1584148771,85,55.62,38.12,39.99,8.95
Port Macquarie,75,AU,1584148920,57,-31.43,152.92,80.01,5.82
Comodoro Rivadavia,75,AR,1584148808,37,-45.87,-67.5,66.2,21.92
Los Llanos de Aridane,75,ES,1584148920,72,28.66,-17.92,66.2,11.41
Talnakh,75,RU,1584148612,100,69.49,88.4,30.2,22.37
Pangody,95,RU,1584148920,91,65.85,74.49,32.52,20.02
Port Alberni,20,CA,1584148920,33,49.24,-124.8,46.0,19.46
Ruteng,93,ID,1584148921,76,-8.61,120.47,74.84,2.75
Abu Kamal,50,SY,1584148921,70,34.45,40.92,59.85,11.99
Moose Factory,90,CA,1584148921,92,51.26,-80.61,23.0,16.11
Carutapera,99,BR,1584148633,80,-1.2,-46.02,81.57,11.07
Ambulu,97,ID,1584148921,81,-8.35,113.61,79.29,4.85
Ponte de Sôr,17,PT,1584148921,89,39.25,-8.01,53.01,4.0
Diffa,9,NE,1584148921,28,13.32,12.61,64.15,7.63
Amapá,100,BR,1584148922,92,1.0,-52.0,74.75,5.84
Anadyr,100,RU,1584148922,57,64.75,177.48,21.2,6.71
Mokhsogollokh,100,RU,1584148922,92,61.47,128.92,-8.7,7.72
Nikolayevsk-on-Amur,10,RU,1584148922,80,53.14,140.73,8.1,5.1
Prince Rupert,1,CA,1584148922,31,54.32,-130.32,33.8,20.8
Palizada,40,MX,1584148922,74,18.25,-92.08,80.6,6.93
Zirándaro de los Chávez,0,MX,1584148922,26,18.45,-100.98,97.68,12.19
Cururupu,78,BR,1584148922,98,-1.83,-44.87,74.8,2.73
Pitimbu,40,BR,1584148662,94,-7.47,-34.81,78.8,2.24
Tuy Hoa,43,VN,1584148634,85,13.08,109.3,76.05,3.51
Tepechitlán,49,MX,1584148923,22,21.67,-103.33,76.46,9.82
Maşyāf,75,SY,1584148923,93,35.07,36.34,55.4,3.36
Mayor Pablo Lagerenza,51,PY,1584148923,42,-19.93,-60.77,87.4,5.75
Trelew,37,AR,1584148923,66,-43.25,-65.31,54.81,43.06
Soyo,94,AO,1584148923,87,-6.13,12.37,80.06,4.12
Banda Aceh,0,ID,1584148663,92,5.56,95.32,72.63,4.99
Tadine,96,NC,1584148924,86,-21.55,167.88,79.72,9.91
San Miguel de Tucumán,93,AR,1584148770,74,-26.82,-65.22,82.4,7.34
Malakal,53,SS,1584148924,23,9.53,31.66,81.93,6.85
Puerto del Rosario,40,ES,1584148924,77,28.5,-13.86,64.4,17.22
Dhārchula,100,IN,1584148924,64,29.85,80.53,30.99,8.46
Santa Isabel Rio Negro,45,BR,1584148924,64,-0.41,-65.02,81.77,0.69
Turbat,0,PK,1584148925,27,26.0,63.04,62.71,2.89
Tonantins,93,BR,1584148925,89,-2.87,-67.8,77.95,1.5
Kuusamo,100,FI,1584148925,71,65.97,29.18,8.6,14.99
Marsá Maţrūḩ,3,EG,1584148925,87,31.35,27.25,57.2,8.05
Dombarovskiy,100,RU,1584148925,91,50.76,59.54,34.54,17.45
Harper,99,LR,1584148925,95,4.38,-7.72,77.23,2.57
Havøysund,100,NO,1584148642,61,71.0,24.66,17.6,34.45
Zhigansk,78,RU,1584148925,98,66.77,123.37,-13.95,5.08
Andra,100,RU,1584148925,98,62.51,65.89,34.29,12.73
Atherton,80,GB,1584148926,81,53.52,-2.49,44.01,4.7
Fort Nelson,20,CA,1584148628,36,58.81,-122.7,12.2,1.48
Wanxian,9,CN,1584148926,76,30.8,108.39,46.94,3.56
Caravelas,83,BR,1584148926,81,-17.71,-39.25,81.01,9.48
Acaraú,100,BR,1584148926,98,-2.89,-40.12,74.34,2.66
Malpe,20,IN,1584148926,88,13.35,74.72,73.4,3.36
Cuamba,100,MZ,1584148926,97,-14.8,36.54,66.85,3.29
Pangai,90,TO,1584148926,94,-19.8,-174.35,77.0,11.41
Yarensk,99,RU,1584148927,92,62.17,49.09,30.72,8.68
Puerto Ayacucho,94,VE,1584148927,62,5.66,-67.62,86.0,2.24
Cedar City,90,US,1584148811,86,37.68,-113.06,39.2,18.34
Pombia,75,IT,1584148927,93,45.65,8.63,57.0,3.36
Vestmannaeyjar,25,IS,1584148927,79,63.44,-20.27,26.96,14.97
Erenhot,4,CN,1584148927,49,43.65,111.98,26.06,12.86
Laiwu,37,CN,1584148676,83,36.19,117.66,40.21,8.34
Inuvik,75,CA,1584148927,63,68.35,-133.72,26.6,9.17
Kibala,12,TD,1584148928,10,9.11,18.35,77.0,4.07
Cervo,90,ES,1584148928,1,43.67,-7.41,48.99,0.47
Tual,82,ID,1584148928,76,-5.67,132.75,83.26,10.92
Lichtenburg,69,ZA,1584148928,66,-26.15,26.16,60.33,2.21
Vanimo,100,PG,1584148629,77,-2.67,141.3,82.74,10.45
Commerce,75,US,1584148862,82,34.0,-118.16,60.8,5.61
Kozhevnikovo,100,RU,1584148928,68,56.26,83.97,24.01,8.01
Slave Lake,1,CA,1584148929,54,55.28,-114.77,1.4,10.29
Evansville,1,US,1584148820,56,37.97,-87.56,48.2,4.7
Airai,67,TL,1584148929,59,-8.93,125.41,75.45,1.83
Ugoofaaru,17,MV,1584148866,76,5.67,73.0,83.57,12.06
Mahon,100,ES,1584148929,71,39.89,4.27,55.4,17.22
Xapuri,100,BR,1584148929,90,-10.65,-68.5,76.41,1.61
Nushki,1,PK,1584148929,39,29.55,66.02,51.44,2.89
Khorixas,0,NA,1584148929,37,-20.37,14.97,73.6,2.8
Bindura,71,ZW,1584148930,95,-17.3,31.33,61.29,0.6
Riacho de Santana,100,BR,1584148930,100,-13.61,-42.94,75.2,3.36
Şereflikoçhisar,99,TR,1584148930,76,38.94,33.54,49.96,5.37
Sabang,14,ID,1584148930,76,5.89,95.32,83.59,15.17
Itaobim,1,BR,1584148930,96,-16.57,-41.83,67.82,3.02
Borovskoy,92,KZ,1584148930,93,53.8,64.15,34.81,19.37
Deniliquin,0,AU,1584148930,47,-35.53,144.97,64.0,13.0
Cabedelo,40,BR,1584148930,94,-6.98,-34.83,78.8,2.24
Gulu,55,UG,1584148930,77,2.77,32.3,72.88,5.95
Kudahuvadhoo,61,MV,1584148931,78,2.67,72.89,82.65,11.95
Nelson Bay,90,AU,1584148931,82,-32.72,152.15,68.0,23.04
Sefophe,0,BW,1584148931,74,-22.18,27.97,69.03,2.28
Areosa,0,PT,1584148931,93,41.72,-8.86,55.0,8.05
Towada,40,JP,1584148931,40,40.61,141.21,37.4,5.82
Yumen,48,CN,1584148931,49,40.28,97.2,24.51,9.24
Krasnoborsk,100,RU,1584148931,95,61.56,45.93,30.96,8.12
Mersing,20,MY,1584148931,83,2.43,103.84,84.2,5.82
Amazar,64,RU,1584148931,71,53.86,120.88,4.89,9.37
Cardoso,0,BR,1584148932,78,-20.08,-49.91,74.5,4.09
Dingle,25,PH,1584148932,81,11.0,122.67,78.46,8.37
Mirik,100,IN,1584148932,78,26.89,88.18,51.73,4.14
Saint-François,71,FR,1584148633,86,46.42,3.91,41.0,4.7
Puerto Carreño,88,CO,1584148932,62,6.19,-67.49,86.0,2.24
Aljezur,19,PT,1584148932,86,37.32,-8.8,55.99,14.9
Christchurch,63,NZ,1584148932,68,-43.53,172.63,66.0,12.75
Baruun-Urt,0,MN,1584148932,86,46.68,113.28,11.89,10.63
Talara,35,PE,1584148933,87,-4.58,-81.27,76.86,9.42
Yashan,95,CN,1584148933,65,22.2,109.94,67.1,13.02
Talcahuano,35,CL,1584148933,72,-36.72,-73.12,62.6,6.93
Ponoka,90,CA,1584148933,70,52.68,-113.58,1.99,10.29
Ulaanbaatar,0,MN,1584148933,66,47.91,106.88,14.0,2.24
Vila,0,PT,1584148933,93,42.03,-8.16,55.0,10.29
Nova Olinda do Norte,84,BR,1584148933,83,-3.89,-59.09,79.75,2.28
Paamiut,74,GL,1584148933,66,61.99,-49.67,5.68,11.01
Sursk,6,RU,1584148934,52,53.08,45.68,37.99,8.21
Warrnambool,100,AU,1584148934,58,-38.38,142.48,61.0,20.65
Hambantota,20,LK,1584148934,100,6.12,81.12,71.6,5.82
Tromsø,75,NO,1584148934,85,69.65,18.96,19.4,4.7
Agirish,100,RU,1584148934,90,61.92,63.02,35.35,12.3
Den Helder,90,NL,1584148934,75,52.96,4.76,42.8,10.29
Koshurnikovo,0,RU,1584148934,91,54.17,93.3,16.02,2.86
Suez,49,EG,1584148934,85,29.97,32.53,59.95,9.28
Maceió,40,BR,1584148934,88,-9.67,-35.74,77.0,3.36
Wukari,0,NG,1584148935,12,7.85,9.78,73.44,4.7
Khāsh,0,IR,1584148935,23,28.22,61.22,50.36,2.01
Iralaya,20,HN,1584148646,88,15.0,-83.23,75.2,9.17
Barra Patuca,1,HN,1584148935,72,15.8,-84.28,79.95,13.24
Mandera,86,KE,1584148935,64,3.94,41.87,79.83,14.2
Saint George,90,US,1584148935,87,37.1,-113.58,48.99,5.82
Dawlatabad,88,AF,1584148935,46,36.41,64.91,52.65,3.58
Nam Som,75,TH,1584148935,74,17.77,102.19,80.6,2.24
Codajás,64,BR,1584148715,72,-3.84,-62.06,81.52,0.38
Mwinilunga,100,ZM,1584148936,99,-11.74,24.43,64.33,3.76
Huilong,29,CN,1584148936,72,31.81,121.66,48.0,1.99
Puerto Escondido,40,MX,1584148936,78,15.85,-97.07,82.4,8.05
Simbahan,49,PH,1584148936,79,6.3,120.58,80.96,11.16
Barabinsk,100,RU,1584148936,92,55.36,78.36,16.32,9.71
Rehti,20,IN,1584148936,50,22.73,77.43,55.4,6.93
Tobol,85,KZ,1584148934,97,52.68,62.58,34.95,18.12
Laas,73,IT,1584148937,85,46.62,10.7,42.01,1.12
Yaan,97,NG,1584148937,9,7.38,8.57,81.82,5.57
